Date,ID,Case Number,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2014-08-22 11:00:00,9749309.0,HX399165,017XX W 78TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,0.0,0.0,611.0,6.0,17.0,71.0,06,1166253.0,1852935.0,2014.0,08/29/2014 12:36:48 PM,41.752026732,-87.666328754,"(41.752026732, -87.666328754)"
2014-08-22 11:30:00,9748629.0,HX398239,074XX N WESTERN AVE,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),0.0,1.0,2411.0,24.0,50.0,2.0,08B,1158975.0,1949076.0,2014.0,08/29/2014 12:36:48 PM,42.015998167,-87.690359826,"(42.015998167, -87.690359826)"
2014-08-22 12:00:00,9748498.0,HX398061,003XX N WABASH AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,0.0,0.0,111.0,18.0,42.0,32.0,06,1176556.0,1902573.0,2014.0,10/31/2014 03:20:56 PM,41.888012296,-87.627077858,"(41.888012296, -87.627077858)"
2014-08-22 12:30:00,9748728.0,HX398011,033XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,0.0,0.0,1733.0,17.0,35.0,21.0,06,1153774.0,1921128.0,2014.0,08/29/2014 12:36:48 PM,41.939412892,-87.710246013,"(41.939412892, -87.710246013)"
2014-08-22 13:00:00,9763563.0,HX413568,037XX S WENTWORTH AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,0.0,0.0,915.0,9.0,3.0,34.0,11,1175529.0,1879837.0,2014.0,10/31/2014 03:20:56 PM,41.825646242,-87.631531749,"(41.825646242, -87.631531749)"
2014-08-22 13:30:00,9768865.0,HX419754,014XX W 72ND PL,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,0.0,1.0,734.0,7.0,17.0,67.0,26,1167893.0,1856707.0,2014.0,10/31/2014 03:20:56 PM,41.762342563,-87.660210726,"(41.762342563, -87.660210726)"
2014-08-22 14:00:00,9813126.0,HX452679,0000X W C9 ST,0820,THEFT,$500 AND UNDER,AIRPORT EXTERIOR - SECURE AREA,0.0,0.0,1651.0,16.0,41.0,76.0,06,1099209.0,1934529.0,2014.0,10/31/2014 03:20:56 PM,41.977100475,-87.910550746,"(41.977100475, -87.910550746)"
2014-08-22 14:30:00,9754673.0,HX404409,006XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,0.0,0.0,1834.0,18.0,42.0,8.0,06,1177345.0,1905076.0,2014.0,08/29/2014 12:36:48 PM,41.894862797,-87.624104445,"(41.894862797, -87.624104445)"
2014-08-22 15:00:00,9813719.0,HX462551,076XX S ASHLAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,0.0,0.0,611.0,6.0,17.0,71.0,11,1166956.0,1854253.0,2014.0,10/31/2014 03:20:56 PM,41.755628522,-87.663714978,"(41.755628522, -87.663714978)"
2014-08-22 15:30:00,9758222.0,HX407892,018XX W 18TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,0.0,0.0,1234.0,12.0,25.0,31.0,06,1164089.0,1891466.0,2014.0,10/31/2014 03:20:56 PM,41.857806168,-87.673174343,"(41.857806168, -87.673174343)"
2014-08-22 16:00:00,9758353.0,HX407945,070XX S HARPER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0.0,0.0,332.0,3.0,5.0,43.0,14,1187636.0,1858802.0,2014.0,10/31/2014 03:20:56 PM,41.767644697,-87.587784061,"(41.767644697, -87.587784061)"
2014-08-22 16:30:00,9748597.0,HX398245,047XX N BROADWAY,0460,BATTERY,SIMPLE,SIDEWALK,0.0,0.0,1913.0,19.0,48.0,3.0,08B,1167616.0,1931520.0,2014.0,08/29/2014 12:36:48 PM,41.967641608,-87.659072372,"(41.967641608, -87.659072372)"
2014-08-22 17:00:00,9770158.0,HX421414,005XX N WOLCOTT AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"SCHOOL, PRIVATE, GROUNDS",0.0,0.0,1221.0,12.0,1.0,24.0,14,1163596.0,1903803.0,2014.0,10/31/2014 03:20:56 PM,41.891670354,-87.674636426,"(41.891670354, -87.674636426)"
2014-08-22 17:30:00,9748833.0,HX398334,067XX S STONY ISLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,1.0,1.0,332.0,3.0,5.0,43.0,08B,1187984.0,1860847.0,2014.0,10/31/2014 03:20:56 PM,41.773248065,-87.586443413,"(41.773248065, -87.586443413)"
2014-08-22 18:00:00,9749294.0,HX399162,035XX N RETA AVE,0810,THEFT,OVER $500,OTHER,0.0,0.0,1924.0,19.0,44.0,6.0,06,1169928.0,1923612.0,2014.0,08/29/2014 12:36:48 PM,41.945891546,-87.650803008,"(41.945891546, -87.650803008)"
2014-08-22 18:30:00,9748684.0,HX398396,019XX N CALIFORNIA AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,1.0,0.0,1421.0,14.0,1.0,22.0,04B,1157435.0,1912753.0,2014.0,11/10/2014 12:41:06 PM,41.916357471,-87.697019187,"(41.916357471, -87.697019187)"
2014-08-22 19:00:00,9763090.0,HX413234,078XX S CONSTANCE AVE,0810,THEFT,OVER $500,RESIDENCE,0.0,0.0,414.0,4.0,8.0,43.0,06,1189935.0,1853411.0,2014.0,10/31/2014 03:20:56 PM,41.75279634,-87.579530502,"(41.75279634, -87.579530502)"
2014-08-22 19:30:00,9748782.0,HX398488,010XX W IRVING PARK RD,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,1.0,0.0,1923.0,19.0,44.0,6.0,26,1168752.0,1926693.0,2014.0,08/29/2014 12:36:48 PM,41.954371547,-87.655035926,"(41.954371547, -87.655035926)"
2014-08-22 20:00:00,9748860.0,HX398600,060XX S KILDARE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1.0,1.0,813.0,8.0,13.0,65.0,08B,1148694.0,1864349.0,2014.0,10/31/2014 03:20:56 PM,41.78370419,-87.730382143,"(41.78370419, -87.730382143)"
2014-08-22 20:30:00,9751909.0,HX398548,132XX S GREENWOOD AVE,0560,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,0.0,0.0,533.0,12.0,9.0,54.0,08A,1167750.0,1892902.0,2014.0,08/29/2014 12:36:48 PM,41.861668647,-87.659694953,"(41.861668647, -87.659694953)"
2014-08-22 21:00:00,9749530.0,HX399416,020XX N SPAULDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,0.0,0.0,1413.0,14.0,35.0,22.0,14,1153863.0,1913417.0,2014.0,08/29/2014 12:36:48 PM,41.918251518,-87.710124899,"(41.918251518, -87.710124899)"
2014-08-22 21:30:00,9748903.0,HX398609,081XX S LOOMIS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0.0,0.0,613.0,6.0,21.0,71.0,14,1168450.0,1850885.0,2014.0,08/29/2014 12:36:48 PM,41.746354229,-87.658336658,"(41.746354229, -87.658336658)"
2014-08-22 22:00:00,9749367.0,HX399112,008XX N HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0.0,0.0,1212.0,12.0,32.0,24.0,14,1162285.0,1905834.0,2014.0,08/29/2014 12:36:48 PM,41.897271097,-87.679394276,"(41.897271097, -87.679394276)"
2014-08-22 22:30:00,9748935.0,HX398686,024XX S ROCKWELL ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,0.0,0.0,1034.0,10.0,12.0,30.0,04A,1159374.0,1887955.0,2014.0,08/29/2014 12:36:48 PM,41.84826979,-87.690577725,"(41.84826979, -87.690577725)"
2014-08-22 23:00:00,9754258.0,HX398796,011XX W RANDOLPH ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,RESTAURANT,1.0,0.0,1224.0,12.0,27.0,28.0,22,1168961.0,1901068.0,2014.0,10/31/2014 03:20:56 PM,41.884050617,-87.655012719,"(41.884050617, -87.655012719)"
2014-08-22 23:30:00,9880711.0,HX531296,041XX N ASHLAND AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,0.0,0.0,1912.0,19.0,47.0,6.0,11,1164950.0,1927700.0,2014.0,12/06/2014 12:46:38 PM,41.957216524,-87.668983865,"(41.957216524, -87.668983865)"
2014-08-23 00:00:00,9759263.0,HX409171,018XX S CHRISTIANA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,0.0,0.0,1024.0,10.0,24.0,29.0,11,1154368.0,1890682.0,2014.0,10/31/2014 03:20:56 PM,41.855854341,-87.70887734,"(41.855854341, -87.70887734)"
2014-08-23 00:30:00,9749670.0,HX399659,0000X W HUBBARD ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,0.0,0.0,1831.0,18.0,42.0,8.0,06,1176006.0,1903350.0,2014.0,08/30/2014 12:36:38 PM,41.89015683,-87.6290742,"(41.89015683, -87.6290742)"
2014-08-23 01:00:00,9761177.0,HX411197,032XX W 109TH ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,0.0,0.0,2211.0,22.0,19.0,74.0,17,1156689.0,1832116.0,2014.0,10/31/2014 03:20:56 PM,41.695093898,-87.701936363,"(41.695093898, -87.701936363)"
2014-08-23 01:30:00,9749062.0,HX398803,079XX S HERMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1.0,1.0,611.0,6.0,21.0,71.0,08B,1166024.0,1851893.0,2014.0,10/31/2014 03:20:56 PM,41.749172204,-87.667197502,"(41.749172204, -87.667197502)"
2014-08-23 02:00:00,9749953.0,HX400094,070XX S OGLESBY AVE,0820,THEFT,$500 AND UNDER,STREET,0.0,0.0,331.0,3.0,5.0,43.0,06,1192952.0,1858506.0,2014.0,08/30/2014 12:36:38 PM,41.766704352,-87.568308576,"(41.766704352, -87.568308576)"
2014-08-23 02:30:00,9749147.0,HX398908,046XX S MARSHFIELD AVE,0460,BATTERY,SIMPLE,SIDEWALK,0.0,0.0,924.0,9.0,3.0,61.0,08B,1166076.0,1874141.0,2014.0,10/31/2014 03:20:56 PM,41.810222456,-87.666374631,"(41.810222456, -87.666374631)"
2014-08-23 03:00:00,9751941.0,HX402022,039XX N NATCHEZ AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0.0,1.0,1632.0,16.0,38.0,17.0,08B,1132367.0,1925722.0,2014.0,08/30/2014 12:36:38 PM,41.952419348,-87.788816734,"(41.952419348, -87.788816734)"
2014-08-23 03:30:00,9749172.0,HX398944,023XX E 93RD ST,041A,BATTERY,AGGRAVATED: HANDGUN,HOSPITAL BUILDING/GROUNDS,0.0,0.0,413.0,4.0,7.0,48.0,04B,1193363.0,1843796.0,2014.0,08/30/2014 12:36:38 PM,41.726328836,-87.567282144,"(41.726328836, -87.567282144)"
2014-08-23 04:00:00,9752396.0,HX398930,047XX N HARDING AVE,0460,BATTERY,SIMPLE,SIDEWALK,0.0,0.0,1723.0,19.0,39.0,14.0,08B,1160130.0,1931788.0,2014.0,08/30/2014 12:36:38 PM,41.968535374,-87.686590212,"(41.968535374, -87.686590212)"
2014-08-23 04:30:00,9758168.0,HX398963,047XX N SHERIDAN RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0.0,1.0,1914.0,25.0,46.0,3.0,08B,1147678.0,1908685.0,2014.0,08/30/2014 12:36:38 PM,41.905387525,-87.732970889,"(41.905387525, -87.732970889)"
2014-08-23 05:00:00,9749646.0,HX399412,021XX W 19TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0.0,0.0,1234.0,12.0,25.0,31.0,07,1162219.0,1890677.0,2014.0,08/30/2014 12:36:38 PM,41.855680324,-87.680060403,"(41.855680324, -87.680060403)"
2014-08-23 05:30:00,9749200.0,HX398973,049XX S LA CROSSE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0.0,1.0,814.0,8.0,23.0,56.0,08B,1144818.0,1871525.0,2014.0,08/30/2014 12:36:38 PM,41.803470003,-87.744412936,"(41.803470003, -87.744412936)"
2014-08-23 06:00:00,9752916.0,HX398981,080XX S MARYLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0.0,1.0,631.0,18.0,8.0,44.0,08B,1175404.0,1903840.0,2014.0,08/30/2014 12:36:38 PM,41.891514954,-87.631270272,"(41.891514954, -87.631270272)"
2014-08-23 06:30:00,9749194.0,HX398994,061XX W DIVERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0.0,1.0,2511.0,25.0,29.0,19.0,08B,1135105.0,1918009.0,2014.0,08/30/2014 12:36:38 PM,41.931205869,-87.778934962,"(41.931205869, -87.778934962)"
2014-08-23 07:00:00,9754010.0,HX404006,044XX S MOZART ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,0.0,0.0,922.0,9.0,14.0,58.0,02,1158077.0,1874808.0,2014.0,08/30/2014 12:36:38 PM,41.812219393,-87.695695939,"(41.812219393, -87.695695939)"
2014-08-23 07:30:00,9749980.0,HX399883,060XX W WELLINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0.0,1.0,2511.0,25.0,29.0,19.0,08B,1135374.0,1919350.0,2014.0,08/30/2014 12:36:38 PM,41.934880945,-87.777914496,"(41.934880945, -87.777914496)"
2014-08-23 08:00:00,9749336.0,HX399048,071XX S JEFFERY BLVD,0860,THEFT,RETAIL THEFT,DRUG STORE,1.0,0.0,333.0,3.0,5.0,43.0,06,1190817.0,1858158.0,2014.0,08/30/2014 12:36:38 PM,41.765801254,-87.576145268,"(41.765801254, -87.576145268)"
2014-08-23 08:30:00,9749401.0,HX399260,012XX W LELAND AVE,0820,THEFT,$500 AND UNDER,STREET,0.0,0.0,1913.0,19.0,46.0,3.0,06,1167267.0,1931392.0,2014.0,08/30/2014 12:36:38 PM,41.967297901,-87.660359302,"(41.967297901, -87.660359302)"
2014-08-23 09:00:00,9749496.0,HX399338,047XX S WELLS ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0.0,0.0,935.0,9.0,3.0,37.0,07,1175324.0,1873768.0,2014.0,08/30/2014 12:36:38 PM,41.808996952,-87.632465447,"(41.808996952, -87.632465447)"
2014-08-23 09:30:00,9749344.0,HX399100,013XX W 76TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0.0,0.0,612.0,6.0,17.0,71.0,14,1168687.0,1854337.0,2014.0,08/30/2014 12:36:38 PM,41.755821882,-87.657368859,"(41.755821882, -87.657368859)"
2014-08-23 10:00:00,9754326.0,HX399441,025XX E 90TH ST,0810,THEFT,OVER $500,STREET,0.0,0.0,423.0,4.0,7.0,48.0,06,1194942.0,1845755.0,2014.0,08/30/2014 12:36:38 PM,41.7316658,-87.561433889,"(41.7316658, -87.561433889)"
2014-08-23 10:30:00,9749386.0,HX399223,021XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),0.0,0.0,914.0,9.0,25.0,34.0,06,1175228.0,1890240.0,2014.0,08/30/2014 12:36:38 PM,41.854199642,-87.632324538,"(41.854199642, -87.632324538)"
2014-08-23 11:00:00,9749545.0,HX399206,037XX S WENTWORTH AVE,0560,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,1.0,0.0,915.0,9.0,3.0,34.0,08A,1175529.0,1879837.0,2014.0,10/31/2014 03:20:56 PM,41.825646242,-87.631531749,"(41.825646242, -87.631531749)"
2014-08-23 11:30:00,9753465.0,HX399238,091XX S URBAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0.0,0.0,634.0,24.0,6.0,49.0,14,1162920.0,1950041.0,2014.0,08/30/2014 12:36:38 PM,42.018563912,-87.67581619,"(42.018563912, -87.67581619)"
2014-08-23 12:00:00,9761005.0,HX399725,050XX S CAMPBELL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0.0,0.0,923.0,4.0,14.0,63.0,05,1194380.0,1845011.0,2014.0,09/02/2014 12:38:34 PM,41.72963801,-87.563517051,"(41.72963801, -87.563517051)"
2014-08-23 12:30:00,9749622.0,HX399554,0000X W TERMINAL ST,0870,THEFT,POCKET-PICKING,OTHER,0.0,0.0,1651.0,16.0,41.0,76.0,06,1100317.0,1935189.0,2014.0,08/30/2014 12:36:38 PM,41.978896531,-87.906463888,"(41.978896531, -87.906463888)"
2014-08-23 13:00:00,9749678.0,HX399616,037XX W 58TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,0.0,1.0,822.0,8.0,14.0,62.0,14,1152501.0,1865929.0,2014.0,08/30/2014 12:36:38 PM,41.787965844,-87.716382582,"(41.787965844, -87.716382582)"
2014-08-23 13:30:00,9750412.0,HX400498,017XX N CALIFORNIA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,0.0,0.0,1421.0,14.0,1.0,24.0,07,1157387.0,1911689.0,2014.0,08/30/2014 12:36:38 PM,41.913438747,-87.697224531,"(41.913438747, -87.697224531)"
2014-08-23 14:00:00,9750624.0,HX400107,115XX S PEORIA ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,0.0,0.0,524.0,4.0,34.0,53.0,06,1201498.0,1833042.0,2014.0,08/30/2014 12:36:38 PM,41.696616458,-87.537847548,"(41.696616458, -87.537847548)"
2014-08-23 14:30:00,9750585.0,HX399823,067XX S CALUMET AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,0.0,0.0,322.0,15.0,20.0,69.0,26,1139556.0,1897753.0,2014.0,08/30/2014 12:36:38 PM,41.875540865,-87.763072955,"(41.875540865, -87.763072955)"
